Time (s),Flame height (m)
319.7368421,0.668181818
319.7719298,0.779545455
319.8070175,0.834090909
319.8421053,0.943181818
319.877193,0.972727273
319.9122807,0.65
319.9473684,0.727272727
319.9824561,0.811363636
320.0175439,0.872727273
320.0526316,0.956818182
320.0877193,1.054545455
320.122807,0.961363636
320.1578947,1.034090909
320.1929825,1.177272727
320.2280702,1.229545455
320.2631579,1.427272727
320.2982456,0.625
320.3333333,0.668181818
320.3684211,0.790909091
320.4035088,0.720454545
320.4385965,0.863636364
320.4736842,0.7
320.5087719,0.895454545
320.5438596,1.047727273
320.5789474,0.959090909
320.6140351,0.790909091
320.6491228,0.968181818
320.6842105,1.090909091
320.7192982,1.236363636
320.754386,0.595454545
320.7894737,0.743181818
320.8245614,0.761363636
320.8596491,0.668181818
320.8947368,0.675
320.9298246,0.8
320.9649123,0.840056818
339,0.761363636
339.0350877,0.802272727
339.0701754,0.904545455
339.1052632,0.802272727
339.1403509,0.904545455
339.1754386,1.059090909
339.2105263,1.129545455
339.245614,1.25
339.2807018,1.434090909
339.3157895,1.281818182
339.3508772,0.6
339.3859649,0.652272727
339.4210526,0.695454545
339.4561404,0.718181818
339.4912281,0.815909091
339.5263158,1.045454545
339.5614035,1.070454545
339.5964912,0.672727273
339.6315789,0.784090909
339.6666667,0.940909091
339.7017544,0.870454545
339.7368421,1.040909091
339.7719298,1.040909091
339.8070175,0.909090909
339.8421053,1.059090909
339.877193,1.188636364
339.9122807,0.734090909
339.9473684,0.895454545
339.9824561,1.045454545
340.0175439,1.402272727
340.0526316,0.793181818
340.0877193,0.818181818
340.122807,0.622727273
340.1578947,0.731818182
340.1929825,0.763636364
340.2280702,0.881818182
340.2631579,0.622727273
340.2982456,0.756818182
340.3333333,0.754545455
340.3684211,0.856818182
340.4035088,0.990909091
340.4385965,1.088636364
340.4736842,0.459090909
340.5087719,0.440909091
340.5438596,0.513636364
340.5789474,0.538636364
340.6140351,0.615909091
340.6491228,0.688636364
340.6842105,0.836363636
340.7192982,0.927272727
340.754386,1.102272727
340.7894737,1.229545455
340.8245614,1.284090909
340.8596491,0.815909091
340.8947368,1.029545455
340.9298246,0.865909091
340.9649123,0.884659091
359,0.704545455
359.0350877,0.763636364
359.0701754,0.863636364
359.1052632,1.015909091
359.1403509,1.081818182
359.1754386,1.229545455
359.2105263,1.259090909
359.245614,0.945454545
359.2807018,0.904545455
359.3157895,1.102272727
359.3508772,1.270454545
359.3859649,1.438636364
359.4210526,0.554545455
359.4561404,0.627272727
359.4912281,0.581818182
359.5263158,0.713636364
359.5614035,0.754545455
359.5964912,0.834090909
359.6315789,0.929545455
359.6666667,1.070454545
359.7017544,1.179545455
359.7368421,1.354545455
359.7719298,1.377272727
359.8070175,0.520454545
359.8421053,0.652272727
359.877193,0.784090909
359.9122807,0.913636364
359.9473684,0.795454545
359.9824561,0.847727273
360.0175439,1.115909091
360.0526316,1.154545455
360.0877193,1.059090909
360.122807,0.688636364
360.1578947,0.872727273
360.1929825,1.088636364
360.2280702,1.320454545
360.2631579,0.793181818
360.2982456,0.865909091
360.3333333,0.738636364
360.3684211,0.715909091
360.4035088,0.743181818
360.4385965,0.840909091
360.4736842,0.904545455
360.5087719,0.706818182
360.5438596,0.754545455
360.5789474,0.793181818
360.6140351,0.865909091
360.6491228,0.779545455
360.6842105,0.940909091
360.7192982,1.109090909
360.754386,1.240909091
360.7894737,1.270454545
360.8245614,1.3
360.8596491,0.736363636
360.8947368,0.693181818
360.9298246,0.777272727
360.9649123,0.927516234
379,0.770454545
379.0350877,0.772727273
379.0701754,0.893181818
379.1052632,0.981818182
379.1403509,1.1
379.1754386,1.236363636
379.2105263,1.281818182
379.245614,1.063636364
379.2807018,0.893181818
379.3157895,0.954545455
379.3508772,0.693181818
379.3859649,0.725
379.4210526,0.809090909
379.4561404,0.938636364
379.4912281,1.1
379.5263158,1.227272727
379.5614035,0.654545455
379.5964912,0.734090909
379.6315789,0.795454545
379.6666667,0.929545455
379.7017544,0.884090909
379.7368421,0.840909091
379.7719298,0.895454545
379.8070175,1.077272727
379.8421053,1.195454545
379.877193,0.736363636
379.9122807,0.902272727
379.9473684,0.847727273
379.9824561,0.972727273
380.0175439,1.138636364
380.0526316,1.213636364
380.0877193,1.1
380.122807,1.252272727
380.1578947,1.381818182
380.1929825,1.45
380.2280702,0.977272727
380.2631579,0.988636364
380.2982456,0.752272727
380.3333333,0.913636364
380.3684211,0.743181818
380.4035088,0.797727273
380.4385965,0.984090909
380.4736842,1.088636364
