Time (s),dp (N/m²),X O2 (%),X CO2 (%),T_MS1 (K),Light signal (-)
1056,53.42933357,20.66500248,0.230899647,322.45,0.955250176
1059,54.31096844,20.6574716,0.231804766,323.4166667,0.955954898
1062,54.29966543,20.65706453,0.231804766,322.6166667,0.954193094
1065,53.74581789,20.65767514,0.231623742,322.9166667,0.95278365
1068,54.62745275,20.65971051,0.230718623,322.35,0.953840733
1071,54.18663532,20.66418833,0.229994528,322.8833333,0.955602537
1074,53.76842391,20.66194942,0.229994528,322.3166667,0.955602537
1077,54.20924134,20.65767514,0.230175551,322.8166667,0.954545455
1080,53.858848,20.65604684,0.233796027,323.6833333,0.955954898
1083,53.41803056,20.6590999,0.230175551,322.95,0.956307259
1086,53.42933357,20.66357772,0.228546337,322.95,0.955250176
1089,53.46324261,20.66479895,0.228365313,322.5833333,0.955250176
1092,54.22054435,20.65625038,0.229994528,323.3833333,0.955602537
1095,54.17533231,20.65706453,0.232166813,323.2833333,0.957364341
1098,54.20924134,20.65645392,0.232166813,323.4833333,0.956659619
1101,54.19793833,20.6656131,0.229994528,322.8833333,0.955602537
1104,53.31630346,20.66215296,0.23343398,323.7833333,0.954193094
1107,53.33890949,20.65889636,0.230356575,323.0166667,0.957364341
1110,53.42933357,20.65462208,0.231261694,323.8166667,0.952078929
1113,54.18663532,20.65726806,0.232166813,323.3833333,0.954897815
1116,54.17533231,20.66520602,0.229994528,322.8833333,0.958773784
1119,54.19793833,20.66479895,0.232890908,323.25,0.955954898
1122,53.33890949,20.66032113,0.231985789,323.35,0.957364341
1125,52.9433041,20.65625038,0.233796027,323.5166667,0.954545455
1128,52.98851614,20.65604684,0.232347837,323.4166667,0.95278365
1131,53.01112216,20.65889636,0.226374052,323.3833333,0.955602537
1134,53.76842391,20.66744493,0.227460195,323.1166667,0.954897815
1137,53.858848,20.66154235,0.22818429,323.55,0.954193094
1140,53.84754499,20.65828575,0.229813504,323.5833333,0.954193094
1143,53.84754499,20.6590999,0.230356575,323.1166667,0.956659619
1146,53.7571209,20.6590999,0.231261694,323.9166667,0.954897815
1149,53.7571209,20.66439187,0.228908385,323.0166667,0.955250176
1152,54.18663532,20.66276357,0.231261694,324.0166667,0.95278365
1155,53.84754499,20.65686099,0.232528861,323.95,0.954193094
1158,53.74581789,20.65482562,0.232528861,323.5833333,0.953136011
1161,53.31630346,20.65665745,0.231442718,323.2166667,0.956307259
1164,52.98851614,20.66052466,0.231261694,323.5166667,0.952078929
1167,52.93200109,20.66052466,0.23108067,323.3166667,0.954193094
1170,53.41803056,20.65645392,0.231804766,323.7833333,0.954897815
1173,52.98851614,20.65360439,0.232166813,324.0166667,0.955602537
1176,52.57030473,20.65380793,0.231804766,323.9166667,0.954897815
1179,54.31096844,20.65787868,0.230718623,323.6833333,0.957716702
1182,55.0795732,20.66500248,0.229270432,323.7833333,0.957716702
